dummy,ClimateID,WeatherID,jday,date,hour,srad,wind,rh,rain,tmax,tmin,temperature,CO2
Ill_FACE,Ill_FACE,Ill_FACE,1,1/1/2005,0,1.23,3.12,,1.02,11.33,1.61,,
Ill_FACE,Ill_FACE,Ill_FACE,2,1/2/2005,0,1.21,8.95,,8.13,14.94,4.72,,
Ill_FACE,Ill_FACE,Ill_FACE,3,1/3/2005,0,0.88,1.36,,24.38,5.17,3.39,,
Ill_FACE,Ill_FACE,Ill_FACE,4,1/4/2005,0,0.95,1.94,,14.22,4.06,3.06,,
Ill_FACE,Ill_FACE,Ill_FACE,5,1/5/2005,0,0.93,2.01,,27.94,3.67,-0.44,,
Ill_FACE,Ill_FACE,Ill_FACE,6,1/6/2005,0,8.67,0.24,,0,-2.44,-7.89,,
Ill_FACE,Ill_FACE,Ill_FACE,7,1/7/2005,0,8.67,0.13,,0,-2.44,-7.89,,
Ill_FACE,Ill_FACE,Ill_FACE,8,1/8/2005,0,8.67,0.11,,0,-2.44,-7.89,,
Ill_FACE,Ill_FACE,Ill_FACE,9,1/9/2005,0,5.1,8.38,,0.51,4.78,-2.28,,
Ill_FACE,Ill_FACE,Ill_FACE,10,1/10/2005,0,1.98,1.76,,2.54,2.61,0.56,,
Ill_FACE,Ill_FACE,Ill_FACE,11,1/11/2005,0,1.39,1.92,,22.35,4.72,2.11,,
Ill_FACE,Ill_FACE,Ill_FACE,12,1/12/2005,0,4,7.82,,0.76,17.78,4.67,,
Ill_FACE,Ill_FACE,Ill_FACE,13,1/13/2005,0,0.98,13.74,,40.89,16,-9.56,,
Ill_FACE,Ill_FACE,Ill_FACE,14,1/14/2005,0,11.93,14.44,,0,-8.78,-13.17,,
Ill_FACE,Ill_FACE,Ill_FACE,15,1/15/2005,0,7.02,0.53,,0,-8.28,-11.56,,
Ill_FACE,Ill_FACE,Ill_FACE,16,1/16/2005,0,12.05,14.41,,0,-9.33,-15.44,,
Ill_FACE,Ill_FACE,Ill_FACE,17,1/17/2005,0,12.91,13.6,,0,-9.5,-15.94,,
Ill_FACE,Ill_FACE,Ill_FACE,18,1/18/2005,0,11.92,7.5,,0,-3.56,-17.61,,
Ill_FACE,Ill_FACE,Ill_FACE,19,1/19/2005,0,2.83,11.28,,0,2.67,-3.56,,
Ill_FACE,Ill_FACE,Ill_FACE,20,1/20/2005,0,4.14,3.33,,0,-0.11,-5,,
Ill_FACE,Ill_FACE,Ill_FACE,21,1/21/2005,0,8.67,4.04,,0,-2.44,-7.89,,
Ill_FACE,Ill_FACE,Ill_FACE,22,1/22/2005,0,6.36,13.39,,2.54,-0.72,-10.61,,
Ill_FACE,Ill_FACE,Ill_FACE,23,1/23/2005,0,12.42,9.76,,0,-4.06,-13,,
Ill_FACE,Ill_FACE,Ill_FACE,24,1/24/2005,0,11.45,9.5,,0.25,3.72,-5.22,,
Ill_FACE,Ill_FACE,Ill_FACE,25,1/25/2005,0,11.86,9.52,,0.25,9.83,-4.39,,
Ill_FACE,Ill_FACE,Ill_FACE,26,1/26/2005,0,5.88,0.21,,0.25,4.33,-2.5,,
Ill_FACE,Ill_FACE,Ill_FACE,27,1/27/2005,0,12.67,2.71,,0,-2.39,-9.61,,
Ill_FACE,Ill_FACE,Ill_FACE,28,1/28/2005,0,7.62,4.68,,0,2.06,-10.5,,
Ill_FACE,Ill_FACE,Ill_FACE,29,1/29/2005,0,1.9,2.18,,7.62,1,-1.5,,
Ill_FACE,Ill_FACE,Ill_FACE,30,1/30/2005,0,12.41,1.21,,0.25,1.83,-5.5,,
Ill_FACE,Ill_FACE,Ill_FACE,31,1/31/2005,0,9.58,1.75,,0,0.72,-6.28,,
Ill_FACE,Ill_FACE,Ill_FACE,32,2/1/2005,0,13.9,2.03,,0,1.17,-7,,
Ill_FACE,Ill_FACE,Ill_FACE,33,2/2/2005,0,9.93,1.76,,0,1,-7.39,,
Ill_FACE,Ill_FACE,Ill_FACE,34,2/3/2005,0,13.92,11.34,,0.25,5.61,-5.33,,
Ill_FACE,Ill_FACE,Ill_FACE,35,2/4/2005,0,12.81,8.94,,0,9.06,-3.61,,
Ill_FACE,Ill_FACE,Ill_FACE,36,2/5/2005,0,13.23,6.73,,0.25,12.11,-0.56,,
Ill_FACE,Ill_FACE,Ill_FACE,37,2/6/2005,0,3.73,6.77,,2.29,9.22,2.06,,
Ill_FACE,Ill_FACE,Ill_FACE,38,2/7/2005,0,1.69,7.74,,0,8.56,3.72,,
Ill_FACE,Ill_FACE,Ill_FACE,39,2/8/2005,0,3,0.74,,0.51,3.72,-0.56,,
Ill_FACE,Ill_FACE,Ill_FACE,40,2/9/2005,0,4.14,14.81,,2.03,-0.44,-2.33,,
Ill_FACE,Ill_FACE,Ill_FACE,41,2/10/2005,0,7.51,12.37,,0,-2.06,-5.17,,
Ill_FACE,Ill_FACE,Ill_FACE,42,2/11/2005,0,15.07,11.15,,0.25,5.89,-5.78,,
Ill_FACE,Ill_FACE,Ill_FACE,43,2/12/2005,0,12.37,10.19,,0,11.06,-0.44,,
Ill_FACE,Ill_FACE,Ill_FACE,44,2/13/2005,0,0.96,6.39,,22.86,11.56,3.83,,
Ill_FACE,Ill_FACE,Ill_FACE,45,2/14/2005,0,5.68,10.84,,0,11.06,3.5,,
Ill_FACE,Ill_FACE,Ill_FACE,46,2/15/2005,0,8.51,0.37,,4.83,18.06,2,,
Ill_FACE,Ill_FACE,Ill_FACE,47,2/16/2005,0,11.87,12.63,,0.25,3.72,-1.39,,
Ill_FACE,Ill_FACE,Ill_FACE,48,2/17/2005,0,15.42,12.76,,0,0.33,-4.72,,
Ill_FACE,Ill_FACE,Ill_FACE,49,2/18/2005,0,16.61,14.65,,0,-0.61,-7.56,,
Ill_FACE,Ill_FACE,Ill_FACE,50,2/19/2005,0,7.71,6.85,,0.25,2.61,-7.39,,
Ill_FACE,Ill_FACE,Ill_FACE,51,2/20/2005,0,1.26,7.33,,3.81,10.11,0.39,,
Ill_FACE,Ill_FACE,Ill_FACE,52,2/21/2005,0,2.03,14.02,,0,5.33,1.83,,
Ill_FACE,Ill_FACE,Ill_FACE,53,2/22/2005,0,3.51,12.49,,0,3.06,-1.06,,
Ill_FACE,Ill_FACE,Ill_FACE,54,2/23/2005,0,12.06,3.03,,0,3.72,-4.44,,
Ill_FACE,Ill_FACE,Ill_FACE,55,2/24/2005,0,9.65,1.51,,0,3.83,-0.56,,
Ill_FACE,Ill_FACE,Ill_FACE,56,2/25/2005,0,14.59,10.02,,0,9.39,0.72,,
Ill_FACE,Ill_FACE,Ill_FACE,57,2/26/2005,0,17.03,2.14,,0,7.56,-0.89,,
Ill_FACE,Ill_FACE,Ill_FACE,58,2/27/2005,0,7.02,5.12,,0,7.22,-1.78,,
Ill_FACE,Ill_FACE,Ill_FACE,59,2/28/2005,0,4.05,12.39,,1.27,4.22,-3.44,,
Ill_FACE,Ill_FACE,Ill_FACE,60,3/1/2005,0,12.42,12.64,,0.25,-1.06,-5.44,,
Ill_FACE,Ill_FACE,Ill_FACE,61,3/2/2005,0,18.18,14.18,,0,1,-7,,
Ill_FACE,Ill_FACE,Ill_FACE,62,3/3/2005,0,19.24,6.1,,0,5.44,-8.83,,
Ill_FACE,Ill_FACE,Ill_FACE,63,3/4/2005,0,16.26,11.43,,0,12.67,-1.39,,
Ill_FACE,Ill_FACE,Ill_FACE,64,3/5/2005,0,8.72,14.03,,0,7.06,-1.61,,
Ill_FACE,Ill_FACE,Ill_FACE,65,3/6/2005,0,18.34,9.67,,0,19.61,0.67,,
Ill_FACE,Ill_FACE,Ill_FACE,66,3/7/2005,0,7.78,11.68,,0.76,13.28,-0.39,,
Ill_FACE,Ill_FACE,Ill_FACE,67,3/8/2005,0,17.61,13.98,,0,1.5,-4.56,,
Ill_FACE,Ill_FACE,Ill_FACE,68,3/9/2005,0,20.28,14.45,,0,2.44,-6,,
Ill_FACE,Ill_FACE,Ill_FACE,69,3/10/2005,0,3.84,9.91,,0,5.56,-0.83,,
Ill_FACE,Ill_FACE,Ill_FACE,70,3/11/2005,0,10.34,11.8,,0,3.61,-1.22,,
Ill_FACE,Ill_FACE,Ill_FACE,71,3/12/2005,0,4.95,13.54,,0,4.44,-3.17,,
Ill_FACE,Ill_FACE,Ill_FACE,72,3/13/2005,0,16.65,14.78,,0,3.83,-6.67,,
Ill_FACE,Ill_FACE,Ill_FACE,73,3/14/2005,0,18.27,11.57,,0,6.39,-6.28,,
Ill_FACE,Ill_FACE,Ill_FACE,74,3/15/2005,0,20.12,14.54,,0,7.72,-5.5,,
Ill_FACE,Ill_FACE,Ill_FACE,75,3/16/2005,0,19.84,8.87,,0,11.28,-3.44,,
Ill_FACE,Ill_FACE,Ill_FACE,76,3/17/2005,0,19.83,9.61,,0,14.56,-2.61,,
Ill_FACE,Ill_FACE,Ill_FACE,77,3/18/2005,0,18.91,7.63,,0,15.94,-1.89,,
Ill_FACE,Ill_FACE,Ill_FACE,78,3/19/2005,0,5.94,10.68,,0,9.5,1.39,,
Ill_FACE,Ill_FACE,Ill_FACE,79,3/20/2005,0,18.42,14.4,,0,7.06,0.56,,
Ill_FACE,Ill_FACE,Ill_FACE,80,3/21/2005,0,20.95,2.73,,0,11.5,-1.22,,
Ill_FACE,Ill_FACE,Ill_FACE,81,3/22/2005,0,4.45,2.68,,0,6.28,0.61,,
Ill_FACE,Ill_FACE,Ill_FACE,82,3/23/2005,0,3.37,1.85,,0,4.39,2.06,,
Ill_FACE,Ill_FACE,Ill_FACE,83,3/24/2005,0,10.8,7.5,,10.92,7.5,-1.06,,
Ill_FACE,Ill_FACE,Ill_FACE,84,3/25/2005,0,3.43,2.12,,4.83,6.33,2.83,,
Ill_FACE,Ill_FACE,Ill_FACE,85,3/26/2005,0,4.3,1.52,,0,5.94,2.78,,
Ill_FACE,Ill_FACE,Ill_FACE,86,3/27/2005,0,10.71,1.61,,0,9.89,2.83,,
Ill_FACE,Ill_FACE,Ill_FACE,87,3/28/2005,0,23.65,0.08,,0,16.61,2,,
Ill_FACE,Ill_FACE,Ill_FACE,88,3/29/2005,0,20.01,6.72,,0,21.17,1.39,,
Ill_FACE,Ill_FACE,Ill_FACE,89,3/30/2005,0,20.75,7.64,,0.76,23.78,9.44,,
Ill_FACE,Ill_FACE,Ill_FACE,90,3/31/2005,0,20.68,11.51,,0,17.44,8.33,,
Ill_FACE,Ill_FACE,Ill_FACE,91,4/1/2005,0,9.79,0.87,,2.29,13.56,3.33,,
Ill_FACE,Ill_FACE,Ill_FACE,92,4/2/2005,0,22.64,14.51,,1.27,14.11,4,,
Ill_FACE,Ill_FACE,Ill_FACE,93,4/3/2005,0,24.35,11.54,,0,19.5,2.44,,
